Acute,Pain at front of elbow while straight,Tenderness inside elbow,Do you play a throwing sport?,Bruising,Extreme Pain with obvious deformity,Stiffness,Pain that radiates into wrist,Trouble Gripping,Pain increases with activity but lessens with rest,Output
0,0,0,0,0,0,0,0,0,0,"Great news! It looks like you have a healthy and functional elbow. If you feel like you've received this in error, please resubmit your symptoms"
0,0,0,0,0,0,0,0,0,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,0,0,1,0,Potential chronic tennis elbow or arthritis. The RICE protocol is recommended with extensive corrective exercise.
0,0,0,0,0,0,0,0,1,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,0,1,0,0,Potential chronic tennis elbow or overuse. The RICE protocol is recommended along with extensive corrective exercise.
0,0,0,0,0,0,0,1,0,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,0,1,1,0,Potential chronic tennis elbow or arthritis. The RICE protocol is recommended with extensive corrective exercise.
0,0,0,0,0,0,0,1,1,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,1,0,0,0,Potential chronic arthritic symtpoms. The RICE protocol is recommended with corrective exercises.
0,0,0,0,0,0,1,0,0,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,1,0,1,0,Potential chronic tennis elbow or arthritis. The RICE protocol is recommended with extensive corrective exercise.
0,0,0,0,0,0,1,0,1,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,1,1,0,0,Potential chronic tennis elbow. RICE protocol is recommended along with extensive corrective exercises.
0,0,0,0,0,0,1,1,0,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,0,1,1,1,0,Potential chronic tennis elbow. RICE protocol is recommended along with extensive corrective exercises.
0,0,0,0,0,0,1,1,1,1,"Potential chronic arthric symptoms, or overuse. The RICE protocol is recommended along with extensive corrective exercises. "
0,0,0,0,0,1,0,0,0,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,0,0,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,0,1,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,0,1,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,1,0,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,1,0,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,1,1,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,0,1,1,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,0,0,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,0,0,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,0,1,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,0,1,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,1,0,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,1,0,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,1,1,0,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,0,1,1,1,1,1,You've indicated that you are experiencing extreme pain with an apparent deformity. Please seek medical attention to rule out any fractures or dislocations. 
0,0,0,0,1,0,0,0,0,0,"You've indicated that you are experiencing bruising and discomfort in the elbow. If you feel the discoloration has been present longer than x days, it is recommended that you seek medical attention."
