Acute,Pain on bony prominence of shoulder?,Pain while moving across body?,"Did you fall on your shoulder, or ram it against something?",Bruising,Buldge near shoulder?,Pain with overhead activities,Output
0,0,0,0,0,0,0,"Great news! It seems like you have healthy and normal shoulder function. If you feel that this isn't accurate, please go back and re-enter your symptoms"
0,0,0,0,0,0,1,Potential chronic rotator cuff injury
0,0,0,0,0,1,0,Potental clavicular deformity from an old injury that was not addressed
0,0,0,0,0,1,1,Potential clavicular injury with potential rotator cuff damage 
0,0,0,0,1,0,0,"If there is brusing with no associated pain, it is advised to seek medical attention to rule out anything more serious"
0,0,0,0,1,0,1,Potential chronic rotator cuff injury
0,0,0,0,1,1,0,A fall or blunt force trauma event suffered > 3 months ago could have damaged your clavicular bone. Further testing is recommended to rule out fractures
0,0,0,0,1,1,1,Potential clavicular injury with potential rotator cuff damage 
0,0,0,1,0,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,0,0,1,0,0,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff
0,0,0,1,0,1,0,A fall or blunt force trauma event suffered > 3 months ago could have damaged your clavicular bone. Further testing is recommended to rule out fractures
0,0,0,1,0,1,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your clavicular bone and rotator cuff
0,0,0,1,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,0,0,1,1,0,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff. It is advised that you seek meical treatment to rule out any fractures
0,0,0,1,1,1,0,A fall or blunt force trauma event suffered > 3 months ago could have damaged your clavicular bone. Further testing is recommended to rule out fractures
0,0,0,1,1,1,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff. It is advised that you seek meical treatment to rule out any fractures
0,0,1,0,0,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,0,1,0,0,0,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation"
0,0,1,0,0,1,0,Potential clavicular injury with potential rotator cuff damage accompanied with potential AC joint dysfunction 
0,0,1,0,0,1,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation. Medical attention is recommended to rule out any fractures"
0,0,1,0,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,0,1,0,1,0,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation. Medical attention is recommended to rule out any fractures"
0,0,1,0,1,1,0,"Chronic inflammation to the acromioclavicular joint, or AC along with potential clavicular bone damage. Medical attention is recommended to rule out any fractures"
0,0,1,0,1,1,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential clavicular bone damage. Medical attention is recommended to rule out any fractures"
0,0,1,1,0,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,0,1,1,0,0,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation"
0,0,1,1,0,1,0,"Chronic inflammation to the acromioclavicular joint, or AC along with potential clavicular bone damage. Medical attention is recommended to rule out any fractures"
