Acute,Did you hear a popping or tearing sensation,Trouble Bearing weight,Noticable muscle indentation above knee cap,Swelling,Loss of Strength,Output
0,0,0,0,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,0,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,0,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,0,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,1,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,1,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,1,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,0,1,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,0,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,0,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,0,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,0,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,1,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,1,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,1,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,0,1,1,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy. The pain would seem to be around the lower (close to your knee) quad. Physical therapy is recommended."
0,1,0,0,0,0,"You've indicated that you heard some loud popping. If this popping is coming from your knee and isn't accompanied with pain, it could be harmless. It is advised to keep monitoring your symptoms. "
0,1,0,0,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,0,0,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,0,0,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,0,1,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,0,1,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,0,1,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,0,1,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,0,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,0,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,0,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,0,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,1,0,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,1,0,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,1,1,0,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
0,1,1,1,1,1,"If your pain is more chronic and not due to trauma, you could be suffering from quadricep tendinopathy or a chronic quad strain. The pain would seem to be around the lower (close to your knee) quad. If your pain does not subside in x hours, it is recommended that you seek medical imagining to rule out any tendon ruptures."
1,0,0,0,0,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,0,0,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,0,1,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,0,1,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,1,0,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,1,0,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,1,1,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,0,1,1,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,0,0,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,0,0,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,0,1,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,0,1,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,1,0,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,1,0,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,1,1,0,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,0,1,1,1,1,"Potential grade 1 or 2 quad strain. RICE protocol is recommended. If you are having trouble bearing weight after x hours, it is recommended that you seek medical imaging."
1,1,0,0,0,0,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,0,0,1,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,0,1,0,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,0,1,1,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,1,0,0,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,1,0,1,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,1,1,0,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,0,1,1,1,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,1,0,0,0,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,1,0,0,1,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,1,0,1,0,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,1,0,1,1,Potential grade 2 or 3 quad tendon strain. It is recommended that you seek medical attention.
1,1,1,1,0,0,Potential grade 3 quad tendon rupture. It is recommende that you seek medical attention. 
1,1,1,1,0,1,Potential grade 3 quad tendon rupture. It is recommende that you seek medical attention. 
1,1,1,1,1,0,Potential grade 3 quad tendon rupture. It is recommende that you seek medical attention. 
1,1,1,1,1,1,Potential grade 3 quad tendon rupture. It is recommende that you seek medical attention. 
